Angle,Kf,cf/c
9.6385542168675,1.0027586206897,0.1
15.8347676419965,0.9682758620690,0.1
19.1394148020654,0.9117241379310,0.1
21.3425129087779,0.8662068965517,0.1
24.7848537005163,0.7875862068966,0.1
30.1549053356282,0.7103448275862,0.1
38.4165232358003,0.6510344827586,0.1
48.3304647160068,0.6055172413793,0.1
54.1135972461273,0.5848275862069,0.1
59.7590361445783,0.5682758620690,0.1
9.6385542168675,1.0000000000000,0.15
14.0447504302926,0.9862068965517,0.15
18.1755593803786,0.9241379310345,0.15
22.0309810671256,0.8248275862069,0.15
26.8502581755593,0.7310344827586,0.15
33.3218588640275,0.6634482758621,0.15
41.4457831325301,0.6096551724138,0.15
48.3304647160068,0.5779310344828,0.15
55.4905335628227,0.5489655172414,0.15
59.7590361445783,0.5351724137931,0.15
9.6385542168675,1.0000000000000,0.2
12.9432013769363,0.9944827586207,0.2
15.6970740103270,0.9668965517241,0.2
17.3493975903614,0.9351724137931,0.2
20.7917383820998,0.8331034482759,0.2
24.7848537005163,0.7379310344828,0.2
30.5679862306368,0.6648275862069,0.2
38.9672977624784,0.6027586206897,0.2
52.3235800344234,0.5351724137931,0.2
59.7590361445783,0.5062068965517,0.2
9.6385542168675,1.0013793103448,0.25
11.9793459552495,0.9972413793103,0.25
14.1824440619621,0.9875862068966,0.25
16.2478485370051,0.9544827586207,0.25
19.0017211703958,0.8758620689655,0.25
20.9294320137693,0.8000000000000,0.25
25.0602409638554,0.6979310344828,0.25
34.6987951807229,0.6027586206897,0.25
48.4681583476764,0.5282758620690,0.25
59.7590361445783,0.4841379310345,0.25
9.6385542168675,1.0000000000000,0.3
13.2185886402753,0.9917241379310,0.3
16.1101549053356,0.9586206896552,0.3
17.3493975903614,0.9213793103448,0.3
20.1032702237521,0.8262068965517,0.3
23.1325301204819,0.7337931034483,0.3
27.5387263339070,0.6662068965517,0.3
34.1480206540447,0.6055172413793,0.3
40.8950086058519,0.5641379310345,0.3
51.6351118760757,0.5131034482759,0.3
59.8967297762478,0.4841379310345,0.3
9.6385542168675,1.0013793103448,0.4
13.0808950086058,0.9765517241379,0.4
17.4870912220309,0.8717241379310,0.4
19.5524956970740,0.7475862068966,0.4
22.7194492254733,0.6620689655172,0.4
29.0533562822719,0.5862068965517,0.4
37.5903614457831,0.5268965517241,0.4
48.4681583476764,0.4800000000000,0.4
59.7590361445783,0.4427586206897,0.4
9.6385542168675,1.0000000000000,0.5
12.3924268502581,0.9724137931035,0.5
16.1101549053356,0.8689655172414,0.5
17.7624784853700,0.7917241379310,0.5
19.4148020654044,0.7034482758621,0.5
23.9586919104991,0.6055172413793,0.5
30.0172117039587,0.5448275862069,0.5
38.8296041308089,0.4951724137931,0.5
49.2943201376936,0.4551724137931,0.5
59.7590361445783,0.4262068965517,0.5
